房屋ID,州,电网类型,屋顶总容量(kW),容量系数,扩容可用容量(kW),方案A-PV(kW),方案A-面板数,方案A-逆变器(kW),方案A-容配比(%),方案A-储能(kWh),方案A-成本($),方案A-补贴($),方案A-最终报价($),方案B-PV(kW),方案B-面板数,方案B-逆变器(kW),方案B-容配比(%),方案B-储能(kWh),方案B-成本($),方案B-补贴($),方案B-最终报价($),方案C-PV(kW),方案C-面板数,方案C-逆变器(kW),方案C-容配比(%),方案C-储能(kWh),方案C-成本($),方案C-补贴($),方案C-最终报价($)
3991,NSW,single,8.8,70.0%,6.16,8.80,20,5,176.0,13.5,19612.45,7176.00,12436.45,8.80,20,5,176.0,9.6,15901.60,5928.00,9973.60,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
3992,NSW,single,6.16,70.0%,4.31,6.16,14,5,123.2,13.5,18044.29,6357.00,11687.29,6.16,14,5,123.2,9.6,14333.44,5109.00,9224.44,6.16,14,5,123.2,6.5,11383.79,4095.00,7288.79
3993,NSW,single,3.08,70.0%,2.16,3.08,7,5,61.6,13.5,16214.77,5343.00,10871.77,3.08,7,5,61.6,9.6,12503.92,4095.00,8408.92,3.08,7,5,61.6,6.5,9554.27,3081.00,6473.27
3994,NSW,single,1.76,70.0%,1.23,1.76,4,5,35.2,13.5,15430.69,4914.00,10516.69,1.76,4,5,35.2,9.6,11719.84,3666.00,8053.84,1.76,4,5,35.2,6.5,8770.19,2652.00,6118.19
3995,NSW,single,1.76,70.0%,1.23,1.76,4,5,35.2,13.5,15430.69,4914.00,10516.69,1.76,4,5,35.2,9.6,11719.84,3666.00,8053.84,1.76,4,5,35.2,6.5,8770.19,2652.00,6118.19
3996,NSW,single,14.96,70.0%,10.47,14.96,34,10,149.6,22.44,33317.90,12129.00,21188.90,10.12,23,8,126.5,13.5,21320.53,7605.00,13715.53,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
3997,NSW,single,0.0,70.0%,0.00,0.00,0,5,0.0,13.5,14385.25,4368.00,10017.25,0.00,0,5,0.0,9.6,10674.40,3120.00,7554.40,0.00,0,5,0.0,6.5,7724.75,2106.00,5618.75
3998,NSW,single,6.16,70.0%,4.31,6.16,14,5,123.2,13.5,18044.29,6357.00,11687.29,6.16,14,5,123.2,9.6,14333.44,5109.00,9224.44,6.16,14,5,123.2,6.5,11383.79,4095.00,7288.79
3999,NSW,single,3.52,70.0%,2.46,3.52,8,5,70.4,13.5,16476.13,5499.00,10977.13,3.52,8,5,70.4,9.6,12765.28,4251.00,8514.28,3.52,8,5,70.4,6.5,9815.63,3237.00,6578.63
4000,NSW,single,0.0,70.0%,0.00,0.00,0,5,0.0,13.5,14385.25,4368.00,10017.25,0.00,0,5,0.0,9.6,10674.40,3120.00,7554.40,0.00,0,5,0.0,6.5,7724.75,2106.00,5618.75
4001,NSW,single,4.4,70.0%,3.08,4.40,10,5,88.0,13.5,16998.85,5772.00,11226.85,4.40,10,5,88.0,9.6,13288.00,4524.00,8764.00,4.40,10,5,88.0,6.5,10338.35,3510.00,6828.35
4002,NSW,single,6.6,70.0%,4.62,6.60,15,5,132.0,13.5,18305.65,6474.00,11831.65,6.60,15,5,132.0,9.6,14594.80,5226.00,9368.80,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
4003,NSW,single,0.0,70.0%,0.00,0.00,0,5,0.0,13.5,14385.25,4368.00,10017.25,0.00,0,5,0.0,9.6,10674.40,3120.00,7554.40,0.00,0,5,0.0,6.5,7724.75,2106.00,5618.75
4004,NSW,single,7.04,70.0%,4.93,7.04,16,5,140.8,13.5,18567.01,6630.00,11937.01,7.04,16,5,140.8,9.6,14856.16,5382.00,9474.16,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
4005,NSW,single,2.2,70.0%,1.54,2.20,5,5,44.0,13.5,15692.05,5070.00,10622.05,2.20,5,5,44.0,9.6,11981.20,3822.00,8159.20,2.20,5,5,44.0,6.5,9031.55,2808.00,6223.55
4006,NSW,single,0.0,70.0%,0.00,0.00,0,5,0.0,13.5,14385.25,4368.00,10017.25,0.00,0,5,0.0,9.6,10674.40,3120.00,7554.40,0.00,0,5,0.0,6.5,7724.75,2106.00,5618.75
4007,NSW,single,0.0,70.0%,0.00,0.00,0,5,0.0,13.5,14385.25,4368.00,10017.25,0.00,0,5,0.0,9.6,10674.40,3120.00,7554.40,0.00,0,5,0.0,6.5,7724.75,2106.00,5618.75
4008,NSW,single,14.52,70.0%,10.16,14.52,33,10,145.2,21.78,32428.55,11778.00,20650.55,10.12,23,8,126.5,13.5,21320.53,7605.00,13715.53,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
4009,NSW,single,3.52,70.0%,2.46,3.52,8,5,70.4,13.5,16476.13,5499.00,10977.13,3.52,8,5,70.4,9.6,12765.28,4251.00,8514.28,3.52,8,5,70.4,6.5,9815.63,3237.00,6578.63
4010,NSW,single,0.0,70.0%,0.00,0.00,0,5,0.0,13.5,14385.25,4368.00,10017.25,0.00,0,5,0.0,9.6,10674.40,3120.00,7554.40,0.00,0,5,0.0,6.5,7724.75,2106.00,5618.75
4011,NSW,single,12.32,70.0%,8.62,12.32,28,8,154.0,20,28812.08,10491.00,18321.08,10.12,23,8,126.5,13.5,21320.53,7605.00,13715.53,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
4012,NSW,single,58.96,70.0%,41.27,19.80,45,10,198.0,29.700000000000003,43100.75,16068.00,27032.75,13.20,30,8,165.0,13.5,23150.05,8619.00,14531.05,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
4013,NSW,single,8.36,70.0%,5.85,8.36,19,5,167.2,13.5,19351.09,7059.00,12292.09,8.36,19,5,167.2,9.6,15640.24,5811.00,9829.24,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
4014,NSW,single,4.4,70.0%,3.08,4.40,10,5,88.0,13.5,16998.85,5772.00,11226.85,4.40,10,5,88.0,9.6,13288.00,4524.00,8764.00,4.40,10,5,88.0,6.5,10338.35,3510.00,6828.35
4015,NSW,single,1.76,70.0%,1.23,1.76,4,5,35.2,13.5,15430.69,4914.00,10516.69,1.76,4,5,35.2,9.6,11719.84,3666.00,8053.84,1.76,4,5,35.2,6.5,8770.19,2652.00,6118.19
4016,NSW,single,4.4,70.0%,3.08,4.40,10,5,88.0,13.5,16998.85,5772.00,11226.85,4.40,10,5,88.0,9.6,13288.00,4524.00,8764.00,4.40,10,5,88.0,6.5,10338.35,3510.00,6828.35
4017,NSW,single,6.6,70.0%,4.62,6.60,15,5,132.0,13.5,18305.65,6474.00,11831.65,6.60,15,5,132.0,9.6,14594.80,5226.00,9368.80,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
4018,NSW,single,0.0,70.0%,0.00,0.00,0,5,0.0,13.5,14385.25,4368.00,10017.25,0.00,0,5,0.0,9.6,10674.40,3120.00,7554.40,0.00,0,5,0.0,6.5,7724.75,2106.00,5618.75
4019,NSW,single,4.84,70.0%,3.39,4.84,11,5,96.8,13.5,17260.21,5928.00,11332.21,4.84,11,5,96.8,9.6,13549.36,4680.00,8869.36,4.84,11,5,96.8,6.5,10599.71,3666.00,6933.71
4020,NSW,single,9.68,70.0%,6.78,9.68,22,6,161.3,16,22821.92,8307.00,14514.92,9.68,22,8,121.0,10,17728.92,6357.00,11371.92,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
4021,NSW,single,1.32,70.0%,0.92,1.32,3,5,26.4,13.5,15169.33,4758.00,10411.33,1.32,3,5,26.4,9.6,11458.48,3510.00,7948.48,1.32,3,5,26.4,6.5,8508.83,2496.00,6012.83
4022,NSW,single,3.96,70.0%,2.77,3.96,9,5,79.2,13.5,16737.49,5616.00,11121.49,3.96,9,5,79.2,9.6,13026.64,4368.00,8658.64,3.96,9,5,79.2,6.5,10076.99,3354.00,6722.99
4023,NSW,single,4.4,70.0%,3.08,4.40,10,5,88.0,13.5,16998.85,5772.00,11226.85,4.40,10,5,88.0,9.6,13288.00,4524.00,8764.00,4.40,10,5,88.0,6.5,10338.35,3510.00,6828.35
4024,NSW,single,8.8,70.0%,6.16,8.80,20,5,176.0,13.5,19612.45,7176.00,12436.45,8.80,20,5,176.0,9.6,15901.60,5928.00,9973.60,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
4025,NSW,single,15.4,70.0%,10.78,15.40,35,10,154.0,23.1,34207.25,12480.00,21727.25,13.20,30,8,165.0,13.5,23150.05,8619.00,14531.05,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
4026,NSW,single,17.16,70.0%,12.01,17.16,39,10,171.6,25.740000000000002,37764.65,13923.00,23841.65,13.20,30,8,165.0,13.5,23150.05,8619.00,14531.05,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
4027,NSW,single,8.8,70.0%,6.16,8.80,20,5,176.0,13.5,19612.45,7176.00,12436.45,8.80,20,5,176.0,9.6,15901.60,5928.00,9973.60,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
4028,NSW,single,18.48,70.0%,12.94,18.48,42,10,184.8,27.72,40432.70,15015.00,25417.70,13.20,30,8,165.0,13.5,23150.05,8619.00,14531.05,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
4029,NSW,single,5.72,70.0%,4.00,5.72,13,5,114.4,13.5,17782.93,6201.00,11581.93,5.72,13,5,114.4,9.6,14072.08,4953.00,9119.08,5.72,13,5,114.4,6.5,11122.43,3939.00,7183.43
4030,NSW,single,1.76,70.0%,1.23,1.76,4,5,35.2,13.5,15430.69,4914.00,10516.69,1.76,4,5,35.2,9.6,11719.84,3666.00,8053.84,1.76,4,5,35.2,6.5,8770.19,2652.00,6118.19
4031,NSW,single,9.68,70.0%,6.78,9.68,22,6,161.3,16,22821.92,8307.00,14514.92,9.68,22,8,121.0,10,17728.92,6357.00,11371.92,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
4032,NSW,single,3.96,70.0%,2.77,3.96,9,5,79.2,13.5,16737.49,5616.00,11121.49,3.96,9,5,79.2,9.6,13026.64,4368.00,8658.64,3.96,9,5,79.2,6.5,10076.99,3354.00,6722.99
4033,NSW,single,3.96,70.0%,2.77,3.96,9,5,79.2,13.5,16737.49,5616.00,11121.49,3.96,9,5,79.2,9.6,13026.64,4368.00,8658.64,3.96,9,5,79.2,6.5,10076.99,3354.00,6722.99
4034,NSW,single,4.84,70.0%,3.39,4.84,11,5,96.8,13.5,17260.21,5928.00,11332.21,4.84,11,5,96.8,9.6,13549.36,4680.00,8869.36,4.84,11,5,96.8,6.5,10599.71,3666.00,6933.71
4035,NSW,single,3.08,70.0%,2.16,3.08,7,5,61.6,13.5,16214.77,5343.00,10871.77,3.08,7,5,61.6,9.6,12503.92,4095.00,8408.92,3.08,7,5,61.6,6.5,9554.27,3081.00,6473.27
4036,NSW,single,11.44,70.0%,8.01,11.44,26,8,143.0,20,28289.36,10179.00,18110.36,10.12,23,8,126.5,13.5,21320.53,7605.00,13715.53,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
4037,NSW,single,4.4,70.0%,3.08,4.40,10,5,88.0,13.5,16998.85,5772.00,11226.85,4.40,10,5,88.0,9.6,13288.00,4524.00,8764.00,4.40,10,5,88.0,6.5,10338.35,3510.00,6828.35
4038,NSW,single,12.76,70.0%,8.93,12.76,29,8,159.5,20,29073.44,10608.00,18465.44,10.12,23,8,126.5,13.5,21320.53,7605.00,13715.53,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
4039,NSW,single,37.4,70.0%,26.18,19.80,45,10,198.0,29.700000000000003,43100.75,16068.00,27032.75,13.20,30,8,165.0,13.5,23150.05,8619.00,14531.05,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
4040,NSW,single,2.64,70.0%,1.85,2.64,6,5,52.8,13.5,15953.41,5187.00,10766.41,2.64,6,5,52.8,9.6,12242.56,3939.00,8303.56,2.64,6,5,52.8,6.5,9292.91,2925.00,6367.91
4041,NSW,single,1.76,70.0%,1.23,1.76,4,5,35.2,13.5,15430.69,4914.00,10516.69,1.76,4,5,35.2,9.6,11719.84,3666.00,8053.84,1.76,4,5,35.2,6.5,8770.19,2652.00,6118.19
4042,NSW,single,0.0,70.0%,0.00,0.00,0,5,0.0,13.5,14385.25,4368.00,10017.25,0.00,0,5,0.0,9.6,10674.40,3120.00,7554.40,0.00,0,5,0.0,6.5,7724.75,2106.00,5618.75
4043,NSW,single,4.84,70.0%,3.39,4.84,11,5,96.8,13.5,17260.21,5928.00,11332.21,4.84,11,5,96.8,9.6,13549.36,4680.00,8869.36,4.84,11,5,96.8,6.5,10599.71,3666.00,6933.71
4044,NSW,single,7.92,70.0%,5.54,7.92,18,5,158.4,13.5,19089.73,6903.00,12186.73,7.92,18,5,158.4,9.6,15378.88,5655.00,9723.88,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
4045,NSW,single,12.32,70.0%,8.62,12.32,28,8,154.0,20,28812.08,10491.00,18321.08,10.12,23,8,126.5,13.5,21320.53,7605.00,13715.53,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
4046,NSW,single,9.24,70.0%,6.47,9.24,21,6,154.0,16,22560.56,8151.00,14409.56,9.24,21,8,115.5,9.6,17086.96,6084.00,11002.96,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
4047,NSW,single,15.4,70.0%,10.78,15.40,35,10,154.0,23.1,34207.25,12480.00,21727.25,13.20,30,8,165.0,13.5,23150.05,8619.00,14531.05,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
4048,NSW,single,13.2,70.0%,9.24,13.20,30,8,165.0,20,29334.80,10764.00,18570.80,10.12,23,8,126.5,13.5,21320.53,7605.00,13715.53,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
4049,NSW,single,4.84,70.0%,3.39,4.84,11,5,96.8,13.5,17260.21,5928.00,11332.21,4.84,11,5,96.8,9.6,13549.36,4680.00,8869.36,4.84,11,5,96.8,6.5,10599.71,3666.00,6933.71
4050,NSW,single,1.76,70.0%,1.23,1.76,4,5,35.2,13.5,15430.69,4914.00,10516.69,1.76,4,5,35.2,9.6,11719.84,3666.00,8053.84,1.76,4,5,35.2,6.5,8770.19,2652.00,6118.19
4051,NSW,single,5.72,70.0%,4.00,5.72,13,5,114.4,13.5,17782.93,6201.00,11581.93,5.72,13,5,114.4,9.6,14072.08,4953.00,9119.08,5.72,13,5,114.4,6.5,11122.43,3939.00,7183.43
4052,NSW,single,3.08,70.0%,2.16,3.08,7,5,61.6,13.5,16214.77,5343.00,10871.77,3.08,7,5,61.6,9.6,12503.92,4095.00,8408.92,3.08,7,5,61.6,6.5,9554.27,3081.00,6473.27
4053,NSW,single,2.64,70.0%,1.85,2.64,6,5,52.8,13.5,15953.41,5187.00,10766.41,2.64,6,5,52.8,9.6,12242.56,3939.00,8303.56,2.64,6,5,52.8,6.5,9292.91,2925.00,6367.91
4054,NSW,single,9.68,70.0%,6.78,9.68,22,6,161.3,16,22821.92,8307.00,14514.92,9.68,22,8,121.0,10,17728.92,6357.00,11371.92,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
4055,NSW,single,5.28,70.0%,3.70,5.28,12,5,105.6,13.5,17521.57,6045.00,11476.57,5.28,12,5,105.6,9.6,13810.72,4797.00,9013.72,5.28,12,5,105.6,6.5,10861.07,3783.00,7078.07
4056,NSW,single,9.68,70.0%,6.78,9.68,22,6,161.3,16,22821.92,8307.00,14514.92,9.68,22,8,121.0,10,17728.92,6357.00,11371.92,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
4057,NSW,single,7.04,70.0%,4.93,7.04,16,5,140.8,13.5,18567.01,6630.00,11937.01,7.04,16,5,140.8,9.6,14856.16,5382.00,9474.16,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
4058,NSW,single,7.04,70.0%,4.93,7.04,16,5,140.8,13.5,18567.01,6630.00,11937.01,7.04,16,5,140.8,9.6,14856.16,5382.00,9474.16,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
4059,NSW,single,13.64,70.0%,9.55,13.64,31,8,170.5,20.46,30033.85,11076.00,18957.85,10.12,23,8,126.5,13.5,21320.53,7605.00,13715.53,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
4060,NSW,single,0.88,70.0%,0.62,0.88,2,5,17.6,13.5,14907.97,4641.00,10266.97,0.88,2,5,17.6,9.6,11197.12,3393.00,7804.12,0.88,2,5,17.6,6.5,8247.47,2379.00,5868.47
4061,NSW,single,0.88,70.0%,0.62,0.88,2,5,17.6,13.5,14907.97,4641.00,10266.97,0.88,2,5,17.6,9.6,11197.12,3393.00,7804.12,0.88,2,5,17.6,6.5,8247.47,2379.00,5868.47
4062,NSW,single,0.0,70.0%,0.00,0.00,0,5,0.0,13.5,14385.25,4368.00,10017.25,0.00,0,5,0.0,9.6,10674.40,3120.00,7554.40,0.00,0,5,0.0,6.5,7724.75,2106.00,5618.75
4063,NSW,single,2.64,70.0%,1.85,2.64,6,5,52.8,13.5,15953.41,5187.00,10766.41,2.64,6,5,52.8,9.6,12242.56,3939.00,8303.56,2.64,6,5,52.8,6.5,9292.91,2925.00,6367.91
4064,NSW,single,9.68,70.0%,6.78,9.68,22,6,161.3,16,22821.92,8307.00,14514.92,9.68,22,8,121.0,10,17728.92,6357.00,11371.92,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
4065,NSW,single,4.84,70.0%,3.39,4.84,11,5,96.8,13.5,17260.21,5928.00,11332.21,4.84,11,5,96.8,9.6,13549.36,4680.00,8869.36,4.84,11,5,96.8,6.5,10599.71,3666.00,6933.71
4066,NSW,single,11.0,70.0%,7.70,11.00,25,8,137.5,20,28028.00,10062.00,17966.00,10.12,23,8,126.5,13.5,21320.53,7605.00,13715.53,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
4067,NSW,single,9.68,70.0%,6.78,9.68,22,6,161.3,16,22821.92,8307.00,14514.92,9.68,22,8,121.0,10,17728.92,6357.00,11371.92,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
4068,NSW,single,0.44,70.0%,0.31,0.44,1,5,8.8,13.5,14646.61,4485.00,10161.61,0.44,1,5,8.8,9.6,10935.76,3237.00,7698.76,0.44,1,5,8.8,6.5,7986.11,2223.00,5763.11
4069,NSW,single,1.32,70.0%,0.92,1.32,3,5,26.4,13.5,15169.33,4758.00,10411.33,1.32,3,5,26.4,9.6,11458.48,3510.00,7948.48,1.32,3,5,26.4,6.5,8508.83,2496.00,6012.83
4070,NSW,single,0.88,70.0%,0.62,0.88,2,5,17.6,13.5,14907.97,4641.00,10266.97,0.88,2,5,17.6,9.6,11197.12,3393.00,7804.12,0.88,2,5,17.6,6.5,8247.47,2379.00,5868.47
4071,NSW,single,27.72,70.0%,19.40,19.80,45,10,198.0,29.700000000000003,43100.75,16068.00,27032.75,13.20,30,8,165.0,13.5,23150.05,8619.00,14531.05,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
4072,NSW,single,7.92,70.0%,5.54,7.92,18,5,158.4,13.5,19089.73,6903.00,12186.73,7.92,18,5,158.4,9.6,15378.88,5655.00,9723.88,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
4073,NSW,single,5.72,70.0%,4.00,5.72,13,5,114.4,13.5,17782.93,6201.00,11581.93,5.72,13,5,114.4,9.6,14072.08,4953.00,9119.08,5.72,13,5,114.4,6.5,11122.43,3939.00,7183.43
4074,NSW,single,1.76,70.0%,1.23,1.76,4,5,35.2,13.5,15430.69,4914.00,10516.69,1.76,4,5,35.2,9.6,11719.84,3666.00,8053.84,1.76,4,5,35.2,6.5,8770.19,2652.00,6118.19
4075,NSW,single,4.84,70.0%,3.39,4.84,11,5,96.8,13.5,17260.21,5928.00,11332.21,4.84,11,5,96.8,9.6,13549.36,4680.00,8869.36,4.84,11,5,96.8,6.5,10599.71,3666.00,6933.71
4076,NSW,single,5.28,70.0%,3.70,5.28,12,5,105.6,13.5,17521.57,6045.00,11476.57,5.28,12,5,105.6,9.6,13810.72,4797.00,9013.72,5.28,12,5,105.6,6.5,10861.07,3783.00,7078.07
4077,NSW,single,7.48,70.0%,5.24,7.48,17,5,149.6,13.5,18828.37,6786.00,12042.37,7.48,17,5,149.6,9.6,15117.52,5538.00,9579.52,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
4078,NSW,single,3.96,70.0%,2.77,3.96,9,5,79.2,13.5,16737.49,5616.00,11121.49,3.96,9,5,79.2,9.6,13026.64,4368.00,8658.64,3.96,9,5,79.2,6.5,10076.99,3354.00,6722.99
4079,NSW,single,6.6,70.0%,4.62,6.60,15,5,132.0,13.5,18305.65,6474.00,11831.65,6.60,15,5,132.0,9.6,14594.80,5226.00,9368.80,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
4080,NSW,single,8.36,70.0%,5.85,8.36,19,5,167.2,13.5,19351.09,7059.00,12292.09,8.36,19,5,167.2,9.6,15640.24,5811.00,9829.24,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
4081,NSW,single,7.04,70.0%,4.93,7.04,16,5,140.8,13.5,18567.01,6630.00,11937.01,7.04,16,5,140.8,9.6,14856.16,5382.00,9474.16,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
4082,NSW,single,3.96,70.0%,2.77,3.96,9,5,79.2,13.5,16737.49,5616.00,11121.49,3.96,9,5,79.2,9.6,13026.64,4368.00,8658.64,3.96,9,5,79.2,6.5,10076.99,3354.00,6722.99
4083,NSW,single,16.72,70.0%,11.70,16.72,38,10,167.2,25.08,36875.30,13533.00,23342.30,13.20,30,8,165.0,13.5,23150.05,8619.00,14531.05,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
4084,NSW,single,3.08,70.0%,2.16,3.08,7,5,61.6,13.5,16214.77,5343.00,10871.77,3.08,7,5,61.6,9.6,12503.92,4095.00,8408.92,3.08,7,5,61.6,6.5,9554.27,3081.00,6473.27
4085,NSW,single,48.4,70.0%,33.88,19.80,45,10,198.0,29.700000000000003,43100.75,16068.00,27032.75,13.20,30,8,165.0,13.5,23150.05,8619.00,14531.05,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
4087,NSW,single,6.16,70.0%,4.31,6.16,14,5,123.2,13.5,18044.29,6357.00,11687.29,6.16,14,5,123.2,9.6,14333.44,5109.00,9224.44,6.16,14,5,123.2,6.5,11383.79,4095.00,7288.79
4088,NSW,single,0.0,70.0%,0.00,0.00,0,5,0.0,13.5,14385.25,4368.00,10017.25,0.00,0,5,0.0,9.6,10674.40,3120.00,7554.40,0.00,0,5,0.0,6.5,7724.75,2106.00,5618.75
4089,NSW,single,5.72,70.0%,4.00,5.72,13,5,114.4,13.5,17782.93,6201.00,11581.93,5.72,13,5,114.4,9.6,14072.08,4953.00,9119.08,5.72,13,5,114.4,6.5,11122.43,3939.00,7183.43
4090,NSW,single,1.76,70.0%,1.23,1.76,4,5,35.2,13.5,15430.69,4914.00,10516.69,1.76,4,5,35.2,9.6,11719.84,3666.00,8053.84,1.76,4,5,35.2,6.5,8770.19,2652.00,6118.19
4091,NSW,single,10.12,70.0%,7.08,10.12,23,6,168.7,16,23083.28,8424.00,14659.28,10.12,23,8,126.5,13.5,21320.53,7605.00,13715.53,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
4092,NSW,single,0.0,70.0%,0.00,0.00,0,5,0.0,13.5,14385.25,4368.00,10017.25,0.00,0,5,0.0,9.6,10674.40,3120.00,7554.40,0.00,0,5,0.0,6.5,7724.75,2106.00,5618.75
4093,NSW,single,7.92,70.0%,5.54,7.92,18,5,158.4,13.5,19089.73,6903.00,12186.73,7.92,18,5,158.4,9.6,15378.88,5655.00,9723.88,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
4094,NSW,single,13.2,70.0%,9.24,13.20,30,8,165.0,20,29334.80,10764.00,18570.80,10.12,23,8,126.5,13.5,21320.53,7605.00,13715.53,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
4095,NSW,single,11.88,70.0%,8.32,11.88,27,8,148.5,20,28550.72,10335.00,18215.72,10.12,23,8,126.5,13.5,21320.53,7605.00,13715.53,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
4096,NSW,single,14.08,70.0%,9.86,14.08,32,8,176.0,21.12,30923.20,11388.00,19535.20,10.12,23,8,126.5,13.5,21320.53,7605.00,13715.53,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
4097,NSW,single,1.76,70.0%,1.23,1.76,4,5,35.2,13.5,15430.69,4914.00,10516.69,1.76,4,5,35.2,9.6,11719.84,3666.00,8053.84,1.76,4,5,35.2,6.5,8770.19,2652.00,6118.19
4098,NSW,single,3.96,70.0%,2.77,3.96,9,5,79.2,13.5,16737.49,5616.00,11121.49,3.96,9,5,79.2,9.6,13026.64,4368.00,8658.64,3.96,9,5,79.2,6.5,10076.99,3354.00,6722.99
4099,NSW,single,135.52,70.0%,94.86,19.80,45,10,198.0,29.700000000000003,43100.75,16068.00,27032.75,13.20,30,8,165.0,13.5,23150.05,8619.00,14531.05,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
4100,NSW,single,10.56,70.0%,7.39,10.56,24,6,176.0,16,23344.64,8580.00,14764.64,10.12,23,8,126.5,13.5,21320.53,7605.00,13715.53,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
4101,NSW,single,5.28,70.0%,3.70,5.28,12,5,105.6,13.5,17521.57,6045.00,11476.57,5.28,12,5,105.6,9.6,13810.72,4797.00,9013.72,5.28,12,5,105.6,6.5,10861.07,3783.00,7078.07
4102,NSW,single,11.44,70.0%,8.01,11.44,26,8,143.0,20,28289.36,10179.00,18110.36,10.12,23,8,126.5,13.5,21320.53,7605.00,13715.53,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
4103,NSW,single,9.68,70.0%,6.78,9.68,22,6,161.3,16,22821.92,8307.00,14514.92,9.68,22,8,121.0,10,17728.92,6357.00,11371.92,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
4104,NSW,single,1.76,70.0%,1.23,1.76,4,5,35.2,13.5,15430.69,4914.00,10516.69,1.76,4,5,35.2,9.6,11719.84,3666.00,8053.84,1.76,4,5,35.2,6.5,8770.19,2652.00,6118.19
4105,NSW,single,0.0,70.0%,0.00,0.00,0,5,0.0,13.5,14385.25,4368.00,10017.25,0.00,0,5,0.0,9.6,10674.40,3120.00,7554.40,0.00,0,5,0.0,6.5,7724.75,2106.00,5618.75
4106,NSW,single,33.44,70.0%,23.41,19.80,45,10,198.0,29.700000000000003,43100.75,16068.00,27032.75,13.20,30,8,165.0,13.5,23150.05,8619.00,14531.05,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
4107,NSW,single,0.0,70.0%,0.00,0.00,0,5,0.0,13.5,14385.25,4368.00,10017.25,0.00,0,5,0.0,9.6,10674.40,3120.00,7554.40,0.00,0,5,0.0,6.5,7724.75,2106.00,5618.75
4108,NSW,single,9.68,70.0%,6.78,9.68,22,6,161.3,16,22821.92,8307.00,14514.92,9.68,22,8,121.0,10,17728.92,6357.00,11371.92,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
4109,NSW,single,3.52,70.0%,2.46,3.52,8,5,70.4,13.5,16476.13,5499.00,10977.13,3.52,8,5,70.4,9.6,12765.28,4251.00,8514.28,3.52,8,5,70.4,6.5,9815.63,3237.00,6578.63
4110,NSW,single,0.0,70.0%,0.00,0.00,0,5,0.0,13.5,14385.25,4368.00,10017.25,0.00,0,5,0.0,9.6,10674.40,3120.00,7554.40,0.00,0,5,0.0,6.5,7724.75,2106.00,5618.75
